名称,地址,快充数量,慢充数量,支付方式,充电费,服务费,停车费,开放时间,链接,location,district,lng_wgs,lat_wgs
【星星充电】广汽传祺举福店充电站,上海市嘉定区曹安公路4213号,1,0,其他,不详,"0.76;时间段:06:00-08:00,服务费:0.73;时间段:08:00-11:00,服务费:0.593;时间段:11:00-18:00,服务费:0.73;时间段:18:00-21:00,服务费:0.593;时间段:21:00-22:00,服务费:0.73;时间段:22:00-23:59,服务费:0.76;",不详,开放时间：05:00-23:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174322,"121.254050,31.275132",嘉定区,121.24961958427689,31.277134484521984
【星星充电】小上海旅游文化城直流充电站,上海市浦东新区周浦镇年家浜路338弄,0,0,其他,不详,0.71,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174339,"121.578591,31.115904",浦东新区,121.57438580914096,31.11815664649513
【星星充电】小上海旅游文化城充电站,上海市浦东新区周浦镇年家浜路338弄,0,0,其他,不详,0.55,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174340,"121.578591,31.115904",浦东新区,121.57438580914096,31.11815664649513
【星星充电】万枫酒店充电站,上海市静安区共和新路1500号,1,0,其他,不详,"0.8;时间段:06:00-08:00,服务费:0.8;时间段:08:00-11:00,服务费:0.703;时间段:11:00-18:00,服务费:0.8;时间段:18:00-21:00,服务费:0.703;时间段:21:00-22:00,服务费:0.8;时间段:22:00-23:59,服务费:0.8;",不详,开放时间：05:00-23:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174341,"121.457224,31.267130",静安区,121.45264815459589,31.26901442792015
【星星充电】听悦逸居大酒店直流充电站,上海市浦东新区惠南镇听悦路1333号,2,0,其他,不详,0.67,不详,开放时间：05:00-23:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174342,"121.738112,31.065641",浦东新区,121.73374855685003,31.067745355728285
【不对外开放】【星星充电】闵行环保局直流充电站,上海市闵行区莘庄镇莘凌路248号,1,0,其他,不详,"1.265;时间段:06:00-08:00,服务费:0.905;时间段:08:00-11:00,服务费:0.473;时间段:11:00-13:00,服务费:0.905;时间段:13:00-15:00,服务费:0.473;时间段:15:00-18:00,服务费:0.905;时间段:18:00-21:00,服务费:0.473;时间段:21:00-22:00,服务费:0.905;时间段:22:00-23:59,服务费:1.265;",不详,开放时间：05:00-23:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174343,"121.370880,31.113840",闵行区,121.36626214105665,31.11575467773782
【不对外开放】【星星充电】闵行环保局充电站,上海市闵行区莘庄镇莘凌路248号,0,4,其他,不详,"1.265;时间段:06:00-08:00,服务费:0.905;时间段:08:00-11:00,服务费:0.473;时间段:11:00-13:00,服务费:0.905;时间段:13:00-15:00,服务费:0.473;时间段:15:00-18:00,服务费:0.905;时间段:18:00-21:00,服务费:0.473;时间段:21:00-22:00,服务费:0.905;时间段:22:00-23:59,服务费:1.265;",不详,开放时间：05:00-23:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174347,"121.370880,31.113840",闵行区,121.36626214105665,31.11575467773782
【星星充电】听悦逸居大酒店充电站,上海市浦东新区惠南镇听悦路1333号,0,6,其他,不详,0.51,不详,开放时间：05:00-23:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174348,"121.738112,31.065641",浦东新区,121.73374855685003,31.067745355728285
【星星充电】新凯家园二期直流充电站,上海市松江区新家园路128弄、30弄,4,0,其他,不详,0.43,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174362,"121.239214,31.107620",松江区,121.23479744055464,31.109703229785413
【星星充电】龙南佳苑商业区直流充电站,上海市徐汇区龙水南路330号,2,0,其他,不详,"0.76;时间段:06:00-08:00,服务费:0.73;时间段:08:00-11:00,服务费:0.593;时间段:11:00-18:00,服务费:0.73;时间段:18:00-21:00,服务费:0.593;时间段:21:00-22:00,服务费:0.73;时间段:22:00-23:59,服务费:0.76;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174364,"121.454043,31.153070",徐汇区,121.44946853070333,31.15500191350182
【星星充电】光华医院直流充电站,上海市长宁区新华路540号,2,0,其他,不详,0.71,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174365,"121.422367,31.204956",长宁区,121.41772870173955,31.206812133234475
【星星充电】繁荣馨苑直流充电站,上海市浦东新区周浦镇周东南路163号繁荣馨苑,0,0,其他,不详,0.73,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174366,"121.587666,31.105874",浦东新区,121.58347028830093,31.10813805337887
【不对外开放】【星星充电】繁荣馨苑充电站,上海市浦东新区繁荣东路150弄,0,15,其他,不详,0.57,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174367,"121.587129,31.106443",浦东新区,121.58293284734007,31.10870649377526
【星星充电】秀怡苑二期直流充电站,上海市浦东新区环桥路1137弄,0,0,其他,不详,0.7,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174368,"121.602303,31.135994",浦东新区,121.59810989998293,31.13824337582962
【星星充电】秀怡苑二期充电站,上海市浦东新区环桥路1137弄,0,6,其他,不详,0.64,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174369,"121.602303,31.135994",浦东新区,121.59810989998293,31.13824337582962
【星星充电】全方位数码直流充电站,上海市闵行区都会路1699号,0,0,其他,不详,0.68,不详,开放时间：08:30-21:30,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174382,"121.420167,31.059297",闵行区,121.41553910008112,31.061229174150444
【星星充电】张江微电子港直流充电站,上海市浦东新区碧波路690号,10,0,其他,不详,"0.76;时间段:06:00-08:00,服务费:0.72;时间段:08:00-11:00,服务费:0.52;时间段:11:00-13:00,服务费:0.72;时间段:13:00-15:00,服务费:0.52;时间段:15:00-18:00,服务费:0.72;时间段:18:00-21:00,服务费:0.52;时间段:21:00-22:00,服务费:0.72;时间段:22:00-23:59,服务费:0.76;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174383,"121.582501,31.199322",浦东新区,121.57829317314089,31.20153424568193
【星星充电】全方位数码充电站,上海市闵行区都会路1699号,0,0,其他,不详,0.64,不详,开放时间：08:30-21:30,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174384,"121.420167,31.059297",闵行区,121.41553910008112,31.061229174150444
【星星充电】钢博会直流充电站,上海市宝山区业绩路8号,3,0,其他,不详,0.69,不详,开放时间：00:00-00:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174385,"121.354866,31.301150",宝山区,121.35025905272158,31.302998185929727
【星星充电】钢博会充电站,上海市宝山区业绩路8号,0,4,其他,不详,0.53,不详,开放时间：00:00-00:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174386,"121.354866,31.301150",宝山区,121.35025905272158,31.302998185929727
【星星充电】创智天地三期直流充电站,上海市杨浦区智星路88号,0,0,其他,不详,0.3,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174387,"121.511756,31.305446",杨浦区,121.50736071761325,31.307468036692978
【星星充电】创智天地三期充电站,上海市杨浦区智星路88号,0,0,其他,不详,0.3,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174388,"121.511756,31.305446",杨浦区,121.50736071761325,31.307468036692978
【星星充电】新锦江大酒店充电站,上海市黄浦区长乐路161号到底右侧,0,4,其他,不详,0.51,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174398,"121.462974,31.220863",黄浦区,121.45841845162528,31.222781851286637
【星星充电】飞碟苑小区充电站,上海市闵行区银春路1800弄,0,4,其他,不详,0.55,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174399,"121.394630,31.027819",闵行区,121.38999756824343,31.029763640075796
【星星充电】广汽传祺中春店充电站,上海市闵行中春路6111号,1,0,其他,不详,"0.75;时间段:06:00-22:00,服务费:0.679;时间段:22:00-23:59,服务费:0.75;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174400,"121.357137,31.125698",闵行区,121.35254092732455,31.127625616730317
【星星充电】东方现代商业广场直流充电站,上海市浦东新区祝桥镇东亭路东方现代商业广场,0,0,其他,不详,0.37,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174405,"121.753733,31.176611",浦东新区,121.74936238112402,31.17865246838403
【星星充电】飞碟苑小区直流充电站,上海市闵行区银春路1800弄,4,0,其他,不详,0.71,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174406,"121.394630,31.027819",闵行区,121.38999756824343,31.029763640075796
【星星充电】中房晶华公馆充电站,上海市浦东新区三林路1515号,0,0,其他,不详,0.5,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174407,"121.521792,31.146885",浦东新区,121.51744514796532,31.149009471048284
【星星充电】龙南佳苑住宅区充电站,上海市徐汇区龙水南路330号,0,20,其他,不详,0.6,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174417,"121.454043,31.153070",徐汇区,121.44946853070333,31.15500191350182
【星星充电】星丰苑充电站,上海市闵行区莘庄镇黎明路155弄128号,0,0,其他,不详,"0.5;时间段:06:00-22:00,服务费:0.5;时间段:22:00-23:59,服务费:0.5;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174419,"121.377864,31.128127",闵行区,121.37323588261502,31.13002619629506
【星星充电】星丰苑直流充电站,上海市闵行区莘庄镇黎明路155弄128号,0,0,其他,不详,"0.5;时间段:06:00-22:00,服务费:0.5;时间段:22:00-23:59,服务费:0.5;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174420,"121.377864,31.128127",闵行区,121.37323588261502,31.13002619629506
【星星充电】途安假日酒店直流充电站,上海市金山区亭林镇亭学路109弄21号地下车库,0,0,其他,不详,0.68,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174424,"121.320186,30.891174",金山区,121.31568984162111,30.89330509595172
【星星充电】张江微电子港充电站,上海市浦东新区碧波路690号,0,11,其他,不详,"0.6;时间段:06:00-08:00,服务费:0.56;时间段:08:00-11:00,服务费:0.42;时间段:11:00-13:00,服务费:0.56;时间段:13:00-15:00,服务费:0.42;时间段:15:00-18:00,服务费:0.56;时间段:18:00-21:00,服务费:0.42;时间段:21:00-22:00,服务费:0.56;时间段:22:00-23:59,服务费:0.6;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174432,"121.582501,31.199322",浦东新区,121.57829317314089,31.20153424568193
【星星充电】临港海滨国际花园直流充电站,上海市浦东新区芦潮港镇港辉路308弄,0,0,其他,不详,0.73,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174437,"121.856964,30.866465",浦东新区,121.85282434487752,30.86882787009369
【星星充电】隆宇商业生活广场直流充电站,上海市静安区恒丰路329号,8,0,其他,不详,"0.76;时间段:06:00-08:00,服务费:0.72;时间段:08:00-11:00,服务费:0.484;时间段:11:00-13:00,服务费:0.72;时间段:13:00-15:00,服务费:0.484;时间段:15:00-18:00,服务费:0.72;时间段:18:00-21:00,服务费:0.484;时间段:21:00-22:00,服务费:0.72;时间段:22:00-23:59,服务费:0.76;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174451,"121.456267,31.243618",静安区,121.45169059498637,31.24551056934764
【星星充电】汤巷雅苑二期直流充电站,上海市浦东新区环桥路1136弄,2,0,其他,不详,0.6,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174452,"121.604826,31.136209",浦东新区,121.60063268140381,31.13845761192856
【不对外开放】【星星充电】华川家园二期直流充电站,上海市浦东新区妙川路1111弄,2,0,其他,不详,0.73,不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174453,"121.714132,31.182516",浦东新区,121.70977550118701,31.184578220757597
【星星充电】闿和阳光广场直流充电站,上海市宝山区宝杨路3003号,0,0,其他,不详,"0.74;时间段:06:00-08:00,服务费:0.72;时间段:08:00-11:00,服务费:0.31;时间段:11:00-18:00,服务费:0.72;时间段:18:00-21:00,服务费:0.31;时间段:21:00-22:00,服务费:0.72;时间段:22:00-23:59,服务费:0.74;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174454,"121.445343,31.378005",宝山区,121.44072797181508,31.379823997871956
【星星充电】隆宇商业生活广场充电站,上海市静安区恒丰路329号,0,15,其他,不详,"0.6;时间段:06:00-08:00,服务费:0.56;时间段:08:00-11:00,服务费:0.384;时间段:11:00-13:00,服务费:0.56;时间段:13:00-15:00,服务费:0.384;时间段:15:00-18:00,服务费:0.56;时间段:18:00-21:00,服务费:0.384;时间段:21:00-22:00,服务费:0.56;时间段:22:00-23:59,服务费:0.6;",不详,开放时间：00:00-24:00,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174464,"121.456267,31.243618",静安区,121.45169059498637,31.24551056934764
【星星充电】广汽弘仁宝裕店充电站,上海市宝山区江杨南路1505号,1,0,其他,不详,"0.75;时间段:06:00-22:00,服务费:0.679;时间段:22:00-23:59,服务费:0.75;",不详,开放时间：21:00-08:30,https://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=174466,"121.467272,31.334393",宝山区,121.46271958512578,31.33627552842606
